	Condition	Complete? (Estimate)	Keep?	Notes	Votes to keep	It belongs to...	Julie	Abby	Cody	Martin	Gisela	Ryne	Andrew	Collin	Matt (younger)	Matt (older)		Sam	Tim	Samatha						Add +1 to column F to vote to keep something	
							1	1	1	1	1	1	1	1	1	1	1	1	1	1							
7 Wonders	G	Y	Y		0																						
7 Wonders: Leaders	VG	Y	Y		0																					Games Keeping	82
A Game of Thrones: The Board Game (Second Edition)	P	Y	Y		0																					Games Under Discussion	15
Ace Detective	NM	Y	N		0																					Games Removal pending discussion	48
Aquasphere	NM	Y	Y		0	matt																				Other People's Games	35
Arcadia Quest	NM	Y	Y		0	matt																					
Arcadia Quest: The Nameless Campaign	NM	Y	Y		0	matt																					
Arkham Horror	G	Y	Y		0																					Total Games we will probably no longer have to store	83
Arkham Horror: Innsmouth Horror Expansion	G	Y	Y		0																						
Article 27: The UN Security Council Game	NM	Y	N		0																						
Ascension	NM	Y	Y		0																						
Ascension: Immortal Heroes	N/A	N	Y	Empty Box	0																						
Ascension: Return of the Fallen	NM	Y	Y		0																						
Ascension: Storm of Souls	NM	Y	Y	Extra Materials	0																						
Battle Beyond Space	NM	Y	N		0																						
Battle Line	NM	Y	Y		0																						
Battleship	P	Y	N		0																						
Battlestar Galactica: Daybreak Expansion	NM	Y	Y	Extra Materials	0																						
Battlestar Galactica: Exodus Expansion	NM	N	Y		0																						
Battlestar Galactica: Pegasus Expansion	NM	N	Y	Empty Box	0																						
Before the Wind	NM	Y	N		0																						
Blue Moon City	VG	Y	Y		0																						
Bora Bora	NM	Y	Y		0																						
Brass	NM	Y	Y		0																						
Canterbury	NM	Y	N		0																						
Carcassonne	VG	Y	Y		0																						
Catan: Cities & Knights	VG	Y	Y		0																						
Catan: Seafarers	VG	Y	Y		0																						
Catan: Traders & Barbarians	VG	Y	Y		0																						
Chaos in the Old World	P	Y	Y		0																						
Chess, et al.	NM	Y	N		0																						
Cineplexity	NM	Y	N		0																						
City of Horror	NM	Y	N		1							1															
Cleopatra's Caboose	NM	Y	N		0																						
Clue: The Simpsons	VG	Y	N		0																						
Core Worlds	NM	Y	Y		0	matt																					
Cosmic Encounter	VG	Y	Y		0																						
Cthulhu 500	P	Y	N		0																						
Cyclades	NM	Y	Y		0																						
Davinci's Challenge	NM	Y	N		2	Sam	1					1															
DC Comics Deck-Building Game	NM	Y	N		0	matt																					
DC Comics Deck-Building Game: Heroes Unite	NM	Y	N		0	matt																					
DC Comics Deck-Building Game: Teen Titans	NM	Y	N		0	matt																					
Deadwood	P	Y	N		0																						
Defenders of the Realm	NM	Y	Y		0																						
Defenders of the Realm: Dragon Expansion	NM	Y	Y		0																						
Descent: Journeys in the Dark	P	Y	Y		0																						
Diplomacy	NM	Y	Y		0	matt																					
Dominion	P	Y	Y		0																						
Dominion: Alchemy	NM	Y	Y		0																						
Dominion: Base Cards	NM	Y	Y		0																						
Dominion: Cornucopia	NM	Y	Y		0																						
Dominion: Cornucopia	NM	Y	N	Redundant Copy	0	matt																					
Dominion: Dark Ages	VG	Y	Y		0																						
Dominion: Guilds	NM	Y	Y		0																						
Dominion: Hinterlands	NM	Y	Y		0																						
Dominion: Intrigue	NM	Y	Y		0																						
Dominion: Prosperity	VG	Y	Y		0																						
Dominion: Seaside	NM	Y	Y		0																						
Dominoes	VG	Y	N	Gisela Maybe Wants this Shit for Children	0																						
Don't Break the Ice	VG	Y	Y	Gisela Maybe Wants this Shit for Children	0																						
Eclipse	NM	Y	Y		0	matt																					
Eclipse: Shadow of the Rift	NM	Y	Y		0	matt																					
Elder Sign	VG	Y	Y		0																						
Enchanted Cupcake Party Game	NM	Y	N	Gisela Maybe Wants this Shit for Children	0																						
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre	NM	Y	N		0	matt																					
Fealty	NM	Y	N		0																						
Firefly: The Game	VG	Y	Y		0																						
Fist of Dragonstones	VG	N	N	No Rulebook.	0																						
Galaxy Trucker: Anniversary Edition	NM	Y	Y		0																						
Globalization	NM	Y	N		0																						
Gloom	P	Y	N	Gisela Wants this Shit	0																						
Glory to Rome	NM	Y	Y		0																						
Go West!	`NM	Y	N		0																						
Hit the Beach	VG	Y	N		0																						
Hoity Toity	VG	Y	N		0																						
Hornet	NM	Y	N		0																						
Imperial	G	Y	Y		0																						
Industrial Waste	VG	Y	N		0																						
Jaipur	NM	Y	Y		0																						
Jenga: Tetris	VG	Y	N	Gisela Maybe Wants this Shit for Children	0																						
Kemet	G	Y	Y		0																						
Kingdom Builder	NM	Y	N		1							1															
Krosmaster: Arena	NM	Y	N		0	matt																					
LCR	NM	Y	N		0																						
Le Havre	VG	Y	Y		0																						
Legendary: A Marvel Deck Building Game	NM	Y	Y	Extra Materials	0	matt																					
Legendary: Dark City	N/A	N	Y	Empty Box	0	matt																					
Lift Off! Get me off this Planet!	NM	Y	N		0	matt																					
Lords of Waterdeep	VG	Y	Y		0																						
Mage Knight Board Game	NM	Y	Y		0	matt																					
Mammoth Hunters	NM	Y	N		0																						
Mascarade	VG	Y	N	Gisela Wants this Shit	1		1																				
Merchant of Venus (Second Edition)	NM	Y	Y		2		1					1															
Millennium Blades	NM	Y	Y		0	matt																					
MiniMonFa	NM	Y	N		0																						
Monopoly: Bacon	M	Y	N		0	Cody																					
Monopoly: Deluxe Edition	G	Y	N		0																						
New York 1901	NM	Y	N		1							1															
